risk_type,risk_type_ja,scenario,hazard_key,affected_record_count
fire,延焼危険度,延焼危険度,延焼危険度｜延焼危険度,1
river_flooding,河川浸水,,河川浸水｜河川浸水,1
seismic,想定震度,南海トラフ巨大地震,想定震度｜南海トラフ巨大地震,1
seismic,想定震度,多摩東部直下地震,想定震度｜多摩東部直下地震,1
seismic,想定震度,多摩西部直下地震,想定震度｜多摩西部直下地震,1
seismic,想定震度,大正関東地震,想定震度｜大正関東地震,1
seismic,想定震度,立川断層帯地震,想定震度｜立川断層帯地震,1
seismic,想定震度,都心南部直下地震,想定震度｜都心南部直下地震,1
seismic,想定震度,都心東部直下地震,想定震度｜都心東部直下地震,1
seismic,想定震度,都心西部直下地震,想定震度｜都心西部直下地震,1
