alias,canonical_name,notes
東京都恩賜上野動物園,恩賜上野動物園,JAZAと文化庁の表記差
東京都多摩動物公園,多摩動物公園,JAZAと文化庁の表記差
東京都井の頭自然文化園,井の頭自然文化園,JAZAと文化庁の表記差
東京都葛西臨海水族園,葛西臨海水族園,JAZAと文化庁の表記差

