municipality_code,organization_type,organization,dataset_title,dataset_id,api_id,api_status,http_method,spec_url,json_endpoint,xml_endpoint,source_csv_url,dataset_standard,last_update,notes
13000,東京都,東京都教育庁,文化財一覧,t000021d0000000017,t000021d0000000017-8dc3f0c6f17b5a782f4264d4db055740-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t000021d0000000017-8dc3f0c6f17b5a782f4264d4db055740-0,https://service.api.metro.tokyo.lg.jp/api/t000021d0000000017-8dc3f0c6f17b5a782f4264d4db055740-0/json,https://service.api.metro.tokyo.lg.jp/api/t000021d0000000017-8dc3f0c6f17b5a782f4264d4db055740-0/xml,https://www.opendata.metro.tokyo.lg.jp/suisyoudataset/130001_cultural_property.csv,推奨データセット,,東京都指定文化財。所有者・管理者の承諾等により公開可能なものを収録。
13102,特別区,中央区,文化財一覧,t131024d0000000024,t131024d0000000024-e02aafb45009bce6b1507206282702ec-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131024d0000000024-e02aafb45009bce6b1507206282702ec-0,https://service.api.metro.tokyo.lg.jp/api/t131024d0000000024-e02aafb45009bce6b1507206282702ec-0/json,https://service.api.metro.tokyo.lg.jp/api/t131024d0000000024-e02aafb45009bce6b1507206282702ec-0/xml,https://www.city.chuo.lg.jp/documents/984/bunkazai.csv,自治体標準オープンデータセット,2024-03-06,
13104,特別区,新宿区,新宿区の文化財一覧,t131041d0000000006,t131041d0000000006-430e104874e771a0e5c8554ff8daf62e-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131041d0000000006-430e104874e771a0e5c8554ff8daf62e-0,https://service.api.metro.tokyo.lg.jp/api/t131041d0000000006-430e104874e771a0e5c8554ff8daf62e-0/json,https://service.api.metro.tokyo.lg.jp/api/t131041d0000000006-430e104874e771a0e5c8554ff8daf62e-0/xml,https://data.odp.jig.jp/viewcsv/jp/tokyo/shinjuku/723.csv,文化財一覧,2021-09-21,
13106,特別区,台東区,文化財一覧,t131067d0000000393,t131067d0000000393-cd1b272259be6f8b8b01695658e87be1-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131067d0000000393-cd1b272259be6f8b8b01695658e87be1-0,https://service.api.metro.tokyo.lg.jp/api/t131067d0000000393-cd1b272259be6f8b8b01695658e87be1-0/json,https://service.api.metro.tokyo.lg.jp/api/t131067d0000000393-cd1b272259be6f8b8b01695658e87be1-0/xml,https://www.city.taito.lg.jp/kusei/online/opendata/iryo/bunkazai.files/20250314_bunkazai.csv,文化財一覧,2025-03-14,
13107,特別区,墨田区,文化財一覧,t131075d0000000132,t131075d0000000132-25887e82e8eff01e6c14c2b99a9283f8-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131075d0000000132-25887e82e8eff01e6c14c2b99a9283f8-0,https://service.api.metro.tokyo.lg.jp/api/t131075d0000000132-25887e82e8eff01e6c14c2b99a9283f8-0/json,https://service.api.metro.tokyo.lg.jp/api/t131075d0000000132-25887e82e8eff01e6c14c2b99a9283f8-0/xml,https://www.opendata.metro.tokyo.lg.jp/sumida/131075_cultural_property.csv,自治体標準オープンデータセット,2025-03-31,
13108,特別区,江東区,文化財一覧,t131083d0000000015,t131083d0000000015-1137c94d047ba0653a72c912f898f2eb-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131083d0000000015-1137c94d047ba0653a72c912f898f2eb-0,https://service.api.metro.tokyo.lg.jp/api/t131083d0000000015-1137c94d047ba0653a72c912f898f2eb-0/json,https://service.api.metro.tokyo.lg.jp/api/t131083d0000000015-1137c94d047ba0653a72c912f898f2eb-0/xml,https://www.opendata.metro.tokyo.lg.jp/koto/131083_002_cultural_property.csv,文化財一覧,2024-12-01,旧API IDが併存するため、確認できた新しいリソースを採用。
13114,特別区,中野区,文化財一覧,t131148d0000000001,,API確認・現行API ID未特定,POST,https://spec.api.metro.tokyo.lg.jp/spec/search?organizations=%E4%B8%AD%E9%87%8E%E5%8C%BA,,,https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_33/CSV/opendata_550120.csv,文化財一覧,2025-03-01,東京都APIカタログ上でAPI掲載を確認。ただし検索結果から現行リソースのハッシュ付きAPI IDを一意に確定できなかったため空欄。
13115,特別区,杉並区,文化財一覧,t131156d0000000199,t131156d0000000199-fbbe3e80e246a13a832f1fdaa5c0dd3f-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131156d0000000199-fbbe3e80e246a13a832f1fdaa5c0dd3f-0,https://service.api.metro.tokyo.lg.jp/api/t131156d0000000199-fbbe3e80e246a13a832f1fdaa5c0dd3f-0/json,https://service.api.metro.tokyo.lg.jp/api/t131156d0000000199-fbbe3e80e246a13a832f1fdaa5c0dd3f-0/xml,https://www.city.suginami.tokyo.jp/documents/7581/131156_cultural_property.csv,自治体標準オープンデータセット,2025-09-03,
13116,特別区,豊島区,文化財一覧（国もしくは地方公共団体が指定、登録、選定等行った文化財の一覧）,t131164d0000000007,t131164d0000000007-83def088cb55c24a0cae4251717412d7-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131164d0000000007-83def088cb55c24a0cae4251717412d7-0,https://service.api.metro.tokyo.lg.jp/api/t131164d0000000007-83def088cb55c24a0cae4251717412d7-0/json,https://service.api.metro.tokyo.lg.jp/api/t131164d0000000007-83def088cb55c24a0cae4251717412d7-0/xml,,文化財一覧,2022-08-22,
13118,特別区,荒川区,文化財一覧,t131181d0000000010,t131181d0000000010-ae6cbfc3db66807fac3889ab680508c6-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131181d0000000010-ae6cbfc3db66807fac3889ab680508c6-0,https://service.api.metro.tokyo.lg.jp/api/t131181d0000000010-ae6cbfc3db66807fac3889ab680508c6-0/json,https://service.api.metro.tokyo.lg.jp/api/t131181d0000000010-ae6cbfc3db66807fac3889ab680508c6-0/xml,https://www.city.arakawa.tokyo.jp/documents/23112/131181_cultural_property.csv,自治体標準オープンデータセット,2025-03-25,
13119,特別区,板橋区,文化財一覧,t131199d0000000002,t131199d0000000002-d7416203d34a222e725d9a61274347ef-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131199d0000000002-d7416203d34a222e725d9a61274347ef-0,https://service.api.metro.tokyo.lg.jp/api/t131199d0000000002-d7416203d34a222e725d9a61274347ef-0/json,https://service.api.metro.tokyo.lg.jp/api/t131199d0000000002-d7416203d34a222e725d9a61274347ef-0/xml,,自治体標準オープンデータセット,2025-03-01,
13120,特別区,練馬区,文化財一覧（令和8年1月1日時点）,t131202d0000000037,t131202d0000000037-aa973167dadd41176d54b4d62c157d04-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131202d0000000037-aa973167dadd41176d54b4d62c157d04-0,https://service.api.metro.tokyo.lg.jp/api/t131202d0000000037-aa973167dadd41176d54b4d62c157d04-0/json,https://service.api.metro.tokyo.lg.jp/api/t131202d0000000037-aa973167dadd41176d54b4d62c157d04-0/xml,https://www.city.nerima.tokyo.jp/kusei/tokei/opendata/opendatasite/bunka/cultural_property.files/131202_cultural_property.csv,自治体標準オープンデータセット,2026-01-15,
13122,特別区,葛飾区,文化財一覧,t131229d0000000006,t131229d0000000006-7bc47fa3a82de16761ba3cec986e27e4-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131229d0000000006-7bc47fa3a82de16761ba3cec986e27e4-0,https://service.api.metro.tokyo.lg.jp/api/t131229d0000000006-7bc47fa3a82de16761ba3cec986e27e4-0/json,https://service.api.metro.tokyo.lg.jp/api/t131229d0000000006-7bc47fa3a82de16761ba3cec986e27e4-0/xml,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_cultural_property.csv,文化財一覧,,
13123,特別区,江戸川区,文化財一覧,t131237d0000000255,t131237d0000000255-e7f46a00e4d058e04aa8acc357c534ad-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t131237d0000000255-e7f46a00e4d058e04aa8acc357c534ad-0,https://service.api.metro.tokyo.lg.jp/api/t131237d0000000255-e7f46a00e4d058e04aa8acc357c534ad-0/json,https://service.api.metro.tokyo.lg.jp/api/t131237d0000000255-e7f46a00e4d058e04aa8acc357c534ad-0/xml,https://www.opendata.metro.tokyo.lg.jp/edogawa/131237_cultural_property.csv,自治体標準オープンデータセット,2025-03-03,
13208,市,調布市,02.文化財一覧,t132080d3100001964,t132080d3100001964-4ac5f47ee38d5c49163005c754d994ec-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t132080d3100001964-4ac5f47ee38d5c49163005c754d994ec-0,https://service.api.metro.tokyo.lg.jp/api/t132080d3100001964-4ac5f47ee38d5c49163005c754d994ec-0/json,https://service.api.metro.tokyo.lg.jp/api/t132080d3100001964-4ac5f47ee38d5c49163005c754d994ec-0/xml,,自治体標準オープンデータセット,2025-01-23,旧API t132080d0000000062-b5a2ec5405a360e7722b8ea5db4f2b31-0 ではなく現行側を採用。
13210,市,小金井市,文化財一覧,t132101d0000000001,t132101d0000000001-f8cabbeea2be133d4ffeaa3b0c2bda68-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t132101d0000000001-f8cabbeea2be133d4ffeaa3b0c2bda68-0,https://service.api.metro.tokyo.lg.jp/api/t132101d0000000001-f8cabbeea2be133d4ffeaa3b0c2bda68-0/json,https://service.api.metro.tokyo.lg.jp/api/t132101d0000000001-f8cabbeea2be133d4ffeaa3b0c2bda68-0/xml,https://www.opendata.metro.tokyo.lg.jp/koganei/02_bunkazai.csv,自治体標準オープンデータセット,2025-08-22,
13211,市,小平市,文化財一覧,t132110d0000000003,t132110d0000000003-a8c5988e1bf384612a7deb1a7a2b41c6-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t132110d0000000003-a8c5988e1bf384612a7deb1a7a2b41c6-0,https://service.api.metro.tokyo.lg.jp/api/t132110d0000000003-a8c5988e1bf384612a7deb1a7a2b41c6-0/json,https://service.api.metro.tokyo.lg.jp/api/t132110d0000000003-a8c5988e1bf384612a7deb1a7a2b41c6-0/xml,https://www.opendata.metro.tokyo.lg.jp/kodaira/132110_cultural_property.csv,自治体標準オープンデータセット,2025-03-14,
13213,市,東村山市,東村山市文化財一覧,t132136d3100000007,t132136d3100000007-cd8068d3f2168d57872497ccab66cc1f-0,API確認,POST,https://spec.api.metro.tokyo.lg.jp/spec/t132136d3100000007-cd8068d3f2168d57872497ccab66cc1f-0,https://service.api.metro.tokyo.lg.jp/api/t132136d3100000007-cd8068d3f2168d57872497ccab66cc1f-0/json,https://service.api.metro.tokyo.lg.jp/api/t132136d3100000007-cd8068d3f2168d57872497ccab66cc1f-0/xml,,自治体標準オープンデータセット,2024-06-19,
